__mclCluster	name	MAA	score
721.0	RNF14	1.0	0.272714418721
721.0	TAGLN	1.0	0.272714418721
721.0	TNFAIP3	1.0	0.272714418721
1110.0	ADAMTS5	1.0	0.272714418721
1110.0	TIMP3	1.0	0.272714418721
1364.0	SSTR2	1.0	0.272714418721
1364.0	SSTR3	1.0	0.272714418721
1305.0	CDK5R1	0.768245431105	0.272714418721
1305.0	LMTK2	0.768245431105	0.146308793637
1136.0	CDC25C	0.725502913802	0.272714418721
1136.0	LZTS1	0.725502913802	0.122995792115
1359.0	GSTA1	0.725005246913	0.122724350242
1359.0	GSTA2	0.725005246913	0.272714418721
1004.0	MMP13	0.720010369387	0.12
1004.0	MMP14	0.720010369387	0.272714418721
680.0	F2R	0.666666666667	0.272714418721
680.0	F2RL1	0.666666666667	0.272714418721
680.0	PRTN3	0.666666666667	0.0
690.0	CREB3L4	0.666666666667	0.272714418721
690.0	SCX	0.666666666667	0.0
690.0	SOX9	0.666666666667	0.272714418721
719.0	AGER	0.666666666667	0.272714418721
719.0	GMIP	0.666666666667	0.0
719.0	RHOA	0.666666666667	0.272714418721
911.0	CADM1	0.666666666667	0.272714418721
911.0	CRTAM	0.666666666667	0.0
911.0	ITGB4	0.666666666667	0.272714418721
711.0	THBS1	0.54026508207	0.0
711.0	TNFRSF11B	0.54026508207	0.272714418721
711.0	VEGFA	0.54026508207	0.169299814715
340.0	AR	0.504452509523	0.28
340.0	HHAT	0.504452509523	0.0
340.0	KMT2A	0.504452509523	0.0
340.0	MAK	0.504452509523	0.272714418721
340.0	PKLR	0.504452509523	0.0
340.0	TSPY1	0.504452509523	0.272714418721
358.0	ACSL3	0.5	0.272714418721
358.0	IFI16	0.5	0.272714418721
358.0	SLC39A14	0.5	0.0
358.0	STAT6	0.5	0.272714418721
358.0	TMEM173	0.5	0.0
358.0	TRIM56	0.5	0.0
568.0	ACVR2A	0.5	0.272714418721
568.0	DAXX	0.5	0.0
568.0	TCTEX1D4	0.5	0.0
568.0	TGFBR3	0.5	0.272714418721
585.0	KCNMA1	0.5	0.272714418721
585.0	KCNMB2	0.5	0.0
585.0	LRRC26	0.5	0.0
585.0	TBXA2R	0.5	0.272714418721
987.0	BIRC2	0.5	0.0
987.0	BIRC3	0.5	0.272714418721
989.0	MAGEA4	0.5	0.272714418721
989.0	ZBTB17	0.5	0.0
995.0	PIAS1	0.5	0.272714418721
995.0	SUFU	0.5	0.0
1005.0	F12	0.5	0.0
1005.0	MMP12	0.5	0.272714418721
1009.0	IGF1R	0.5	0.272714418721
1009.0	KL	0.5	0.0
1012.0	PDP2	0.5	0.0
1012.0	PRKCD	0.5	0.272714418721
1014.0	PSAT1	0.5	0.0
1014.0	TIMP2	0.5	0.272714418721
1031.0	DCC	0.5	0.272714418721
1031.0	EIF2B1	0.5	0.0
1032.0	SMAD4	0.5	0.272714418721
1032.0	ZMIZ1	0.5	0.0
1046.0	CD44	0.5	0.272714418721
1046.0	SCYL3	0.5	0.0
1051.0	PYCARD	0.5	0.272714418721
1051.0	PYDC1	0.5	0.0
1053.0	EIF4EBP1	0.5	0.272714418721
1053.0	RHEBL1	0.5	0.0
1061.0	SET	0.5	0.272714418721
1061.0	TAF1C	0.5	0.0
1082.0	A2M	0.5	0.272714418721
1082.0	SPACA3	0.5	0.0
1089.0	ALOX12	0.5	0.272714418721
1089.0	KRT85	0.5	0.0
1103.0	ACAT1	0.5	0.272714418721
1103.0	PEX7	0.5	0.0
1105.0	CD33	0.5	0.0
1105.0	MUC2	0.5	0.272714418721
1115.0	C1orf168	0.5	0.0
1115.0	FDFT1	0.5	0.272714418721
1133.0	CEACAM1	0.5	0.272714418721
1133.0	CLEC4M	0.5	0.0
1140.0	BMI1	0.5	0.272714418721
1140.0	FOXS1	0.5	0.0
1142.0	RCVRN	0.5	0.0
1142.0	TOP1	0.5	0.272714418721
1147.0	CLDN4	0.5	0.0
1147.0	EPHA2	0.5	0.272714418721
